time,temperature_c
2025-11-24T00:00,16.7
2025-11-24T01:00,19.0
2025-11-24T02:00,21.2
2025-11-24T03:00,22.8
2025-11-24T04:00,24.0
2025-11-24T05:00,24.8
2025-11-24T06:00,25.6
2025-11-24T07:00,25.8
2025-11-24T08:00,25.7
2025-11-24T09:00,25.2
2025-11-24T10:00,23.6
2025-11-24T11:00,21.8
2025-11-24T12:00,20.8
2025-11-24T13:00,20.5
2025-11-24T14:00,19.9
2025-11-24T15:00,18.8
2025-11-24T16:00,18.2
2025-11-24T17:00,18.1
2025-11-24T18:00,17.3
2025-11-24T19:00,17.4
2025-11-24T20:00,17.4
2025-11-24T21:00,17.1
2025-11-24T22:00,16.5
2025-11-24T23:00,16.1
2025-11-25T00:00,16.9
2025-11-25T01:00,18.9
2025-11-25T02:00,21.2
2025-11-25T03:00,22.1
2025-11-25T04:00,22.8
2025-11-25T05:00,23.3
2025-11-25T06:00,23.7
2025-11-25T07:00,23.9
2025-11-25T08:00,23.7
2025-11-25T09:00,23.1
2025-11-25T10:00,21.5
2025-11-25T11:00,20.0
2025-11-25T12:00,18.9
2025-11-25T13:00,17.9
2025-11-25T14:00,16.9
2025-11-25T15:00,16.0
2025-11-25T16:00,14.8
2025-11-25T17:00,13.4
2025-11-25T18:00,12.4
2025-11-25T19:00,12.2
2025-11-25T20:00,12.2
2025-11-25T21:00,12.2
2025-11-25T22:00,12.1
2025-11-25T23:00,11.9
