time,temperature_c
2025-11-25T00:00:00.000+07:00,16.9
2025-11-25T01:00:00.000+07:00,18.9
2025-11-25T02:00:00.000+07:00,21.2
2025-11-25T03:00:00.000+07:00,22.1
2025-11-25T04:00:00.000+07:00,22.8
2025-11-25T05:00:00.000+07:00,23.3
2025-11-25T06:00:00.000+07:00,24.3
2025-11-25T07:00:00.000+07:00,24.4
2025-11-25T08:00:00.000+07:00,24.1
2025-11-25T09:00:00.000+07:00,23.6
2025-11-25T10:00:00.000+07:00,22.1
2025-11-25T11:00:00.000+07:00,20.6
2025-11-25T12:00:00.000+07:00,20.4
2025-11-25T13:00:00.000+07:00,19.9
2025-11-25T14:00:00.000+07:00,18.6
2025-11-25T15:00:00.000+07:00,17.8
2025-11-25T16:00:00.000+07:00,17.3
2025-11-25T17:00:00.000+07:00,17.1
2025-11-25T18:00:00.000+07:00,14.3
2025-11-25T19:00:00.000+07:00,13.2
2025-11-25T20:00:00.000+07:00,12.7
2025-11-25T21:00:00.000+07:00,12.3
2025-11-25T22:00:00.000+07:00,11.9
2025-11-25T23:00:00.000+07:00,11.6
2025-11-26T00:00:00.000+07:00,12.0
2025-11-26T01:00:00.000+07:00,15.3
2025-11-26T02:00:00.000+07:00,18.6
2025-11-26T03:00:00.000+07:00,20.8
2025-11-26T04:00:00.000+07:00,21.9
2025-11-26T05:00:00.000+07:00,22.7
2025-11-26T06:00:00.000+07:00,23.2
2025-11-26T07:00:00.000+07:00,23.3
2025-11-26T08:00:00.000+07:00,23.0
2025-11-26T09:00:00.000+07:00,22.5
2025-11-26T10:00:00.000+07:00,20.7
2025-11-26T11:00:00.000+07:00,18.7
2025-11-26T12:00:00.000+07:00,17.4
2025-11-26T13:00:00.000+07:00,16.6
2025-11-26T14:00:00.000+07:00,15.9
2025-11-26T15:00:00.000+07:00,15.0
2025-11-26T16:00:00.000+07:00,14.3
2025-11-26T17:00:00.000+07:00,13.9
2025-11-26T18:00:00.000+07:00,13.7
2025-11-26T19:00:00.000+07:00,13.8
2025-11-26T20:00:00.000+07:00,13.9
2025-11-26T21:00:00.000+07:00,14.1
2025-11-26T22:00:00.000+07:00,14.1
2025-11-26T23:00:00.000+07:00,13.8
